group_id,invoice_number,bucket,ticket_count,open_ticket_count,verdict_carrier_submission_id,submission_id,portal_ticket_id,live_portal_status,latest_message_signature,latest_message_outcome,scrape_error,latest_body_preview
5,1859143100,synthetic_only,1,0,,45,portal-1777418252364,synthetic,,synthetic,,
6,1860808110,synthetic_only,1,0,,18,portal-1777417512401,synthetic,,synthetic,,
11,1863023270,synthetic_only,1,0,,21,portal-1777417614872,synthetic,,synthetic,,
13,1861265860,synthetic_only,1,0,,25,portal-1777418288773,synthetic,,synthetic,,
14,1806301210,synthetic_only,1,0,,33,portal-1777418137897,synthetic,,synthetic,,
19,1811814420,synthetic_only,1,0,,27,portal-1777417729141,synthetic,,synthetic,,
21,1852398750,synthetic_only,1,0,,37,portal-1777417632794,synthetic,,synthetic,,
45,1859459440,synthetic_only,1,0,,40,portal-1777418254962,synthetic,,synthetic,,
46,1863343350,synthetic_only,1,0,,49,portal-1777418120324,synthetic,,synthetic,,
47,1863328680,synthetic_only,1,0,,50,portal-1777418154718,synthetic,,synthetic,,
51,1861285490,synthetic_only,1,0,,42,portal-1777418271791,synthetic,,synthetic,,
57,1818324180,synthetic_only,1,0,,65,portal-1777418139359,synthetic,,synthetic,,
97,1851962660,synthetic_only,1,0,,97,portal-1777417609771,synthetic,,synthetic,,
115,1854100180,synthetic_only,1,0,,93,portal-1777417642750,synthetic,,synthetic,,
120,1855534920,synthetic_only,1,0,,64,portal-1777418155973,synthetic,,synthetic,,
123,1853920310,synthetic_only,1,0,,94,portal-1777417627006,synthetic,,synthetic,,
138,1854207100,synthetic_only,1,0,,103,portal-1777417510603,synthetic,,synthetic,,
301,1850804760,synthetic_only,1,0,,300,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVEZFMWAAA=,synthetic,,synthetic,,
308,1857405840,synthetic_only,1,0,,306,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVEZFMYAAA=,synthetic,,synthetic,,
