invoice_number,invoice_group_id,client_number,group_status,group_outcome,active_legs,group_created_at,group_updated_at,import_batch
1868778430,1150,PH36173E,Awaiting Response,Pending,1,2026-04-30 15:09:08.703609+00,2026-05-02 08:08:55.422+00,import_1777561745579
1869106610,1142,EW34871M,Awaiting Response,Pending,2,2026-04-30 15:09:08.322197+00,2026-05-02 08:08:55.222+00,import_1777561745579
1868037610,1128,PF81953W,Awaiting Response,Pending,2,2026-04-30 15:09:07.639319+00,2026-05-02 08:08:55.017+00,import_1777561745579
1869491220,1124,KG88499K,Awaiting Response,Pending,2,2026-04-30 15:09:07.422523+00,2026-05-02 08:08:54.823+00,import_1777561745579
1868979110,1109,ER48529K,Awaiting Response,Pending,1,2026-04-30 15:09:06.740632+00,2026-05-02 08:08:54.627+00,import_1777561745579
1869490060,1108,KG88499K,Awaiting Response,Pending,1,2026-04-30 15:09:06.708075+00,2026-05-02 08:08:54.431+00,import_1777561745579
1868728680,1106,TB88437Q,Awaiting Response,Pending,1,2026-04-30 15:09:06.623363+00,2026-05-02 08:08:54.235+00,import_1777561745579
1869205610,1099,SR88932S,Awaiting Response,Pending,3,2026-04-30 15:09:06.27123+00,2026-05-02 08:08:54.037+00,import_1777561745579
1868044900,1026,VX65757B,Awaiting Response,Pending,1,2026-04-28 14:39:01.77752+00,2026-05-02 08:08:53.839+00,import_1777387119750
1869377440,1004,KX41745B,Awaiting Response,Pending,1,2026-04-28 14:39:00.831729+00,2026-05-02 08:08:53.644+00,import_1777387119750
1869376810,1003,TC78537W,Awaiting Response,Pending,1,2026-04-28 14:39:00.800615+00,2026-05-02 08:08:53.439+00,import_1777387119750
1869247840,1000,VA14964U,Awaiting Response,Pending,1,2026-04-28 14:39:00.665905+00,2026-05-02 08:08:53.242+00,import_1777387119750
1868247460,987,ZU80789D,Awaiting Response,Pending,1,2026-04-28 14:39:00.0929+00,2026-05-02 08:08:53.047+00,import_1777387119750
1868587650,981,ZW30205A,Awaiting Response,Pending,1,2026-04-28 14:38:59.837854+00,2026-05-02 08:08:52.852+00,import_1777387119750
1854896640,953,VA36057R,Awaiting Response,Pending,2,2026-04-28 14:38:58.535455+00,2026-05-02 08:08:52.658+00,import_1777387119750
1808006060,930,TT22000X,Awaiting Response,Pending,2,2026-04-28 14:38:57.496336+00,2026-05-02 08:08:52.46+00,import_1777387119750
1865742660,860,NE47075E,Awaiting Response,Pending,2,2026-04-28 14:38:54.320587+00,2026-05-02 08:08:52.262+00,import_1777387119750
1844864670,858,AB38493X,Awaiting Response,Pending,1,2026-04-28 14:38:54.236632+00,2026-05-02 08:08:52.058+00,import_1777387119750
1867049880,855,ZE91632B,Awaiting Response,Pending,2,2026-04-28 14:38:54.092305+00,2026-05-02 08:08:51.861+00,import_1777387119750
1861209580,845,NG67389G,Awaiting Response,Pending,1,2026-04-28 14:38:53.625468+00,2026-05-02 08:08:51.656+00,import_1777387119750
1851328310,706,GT13297J,Awaiting Response,Pending,2,2026-04-28 14:38:47.237393+00,2026-05-02 08:08:51.459+00,import_1777387119750
1865579390,657,AA67532Z,Awaiting Response,Pending,1,2026-04-28 14:38:44.860326+00,2026-05-02 08:08:51.264+00,import_1777387119750
1862155690,643,EV18785B,Awaiting Response,Pending,2,2026-04-28 14:38:44.23328+00,2026-05-02 08:08:51.065+00,import_1777387119750
1863808300,638,ZB49314A,Awaiting Response,Pending,2,2026-04-28 14:38:43.949644+00,2026-05-02 08:08:50.87+00,import_1777387119750
1864994420,631,SY75252U,Awaiting Response,Pending,1,2026-04-28 14:38:43.626375+00,2026-05-02 08:08:50.676+00,import_1777387119750
1831588390,629,US94256X,Awaiting Response,Pending,2,2026-04-28 14:38:43.526749+00,2026-05-02 08:08:50.481+00,import_1777387119750
1864416650,619,US94256X,Awaiting Response,Pending,3,2026-04-28 14:38:43.111497+00,2026-05-02 08:08:50.284+00,import_1777387119750
1864403500,616,AA67532Z,Awaiting Response,Pending,1,2026-04-28 14:38:43.001865+00,2026-05-02 08:08:50.088+00,import_1777387119750
1860745070,587,TG46153S,Awaiting Response,Pending,2,2026-04-28 14:38:41.611963+00,2026-05-02 08:08:49.891+00,import_1777387119750
1864377040,586,YY19853U,Awaiting Response,Pending,2,2026-04-28 14:38:41.563142+00,2026-05-02 08:08:49.696+00,import_1777387119750
1861228670,581,QM00248J,Awaiting Response,Pending,1,2026-04-28 14:38:41.35837+00,2026-05-02 08:08:49.501+00,import_1777387119750
1861684410,580,RT51073B,Awaiting Response,Pending,1,2026-04-28 14:38:41.318095+00,2026-05-02 08:08:49.302+00,import_1777387119750
1864382400,574,UV04334F,Awaiting Response,Pending,1,2026-04-28 14:38:41.049744+00,2026-05-02 08:08:49.081+00,import_1777387119750
1862878290,568,CK95350P,Awaiting Response,Pending,2,2026-04-28 14:38:40.766254+00,2026-05-02 08:08:48.884+00,import_1777387119750
1863009140,548,DW04652D,Awaiting Response,Pending,1,2026-04-28 14:06:16.703786+00,2026-05-02 08:08:48.689+00,import_1777385152477
1862155760,546,KG88499K,Awaiting Response,Pending,1,2026-04-28 14:06:16.619845+00,2026-05-02 08:08:48.492+00,import_1777385152477
1856423220,543,PR38178X,Awaiting Response,Pending,1,2026-04-28 14:06:16.470919+00,2026-05-02 08:08:48.295+00,import_1777385152477
1860879400,539,CV38525D,Awaiting Response,Pending,2,2026-04-28 14:06:16.271061+00,2026-05-02 08:08:48.086+00,import_1777385152477
1859099250,537,QU72304M,Awaiting Response,Pending,2,2026-04-28 14:06:16.171489+00,2026-05-02 08:08:47.891+00,import_1777385152477
1862024340,536,NZ15223A,Awaiting Response,Pending,2,2026-04-28 14:06:16.122135+00,2026-05-02 08:08:47.693+00,import_1777385152477
1861422860,534,KT23843K,Awaiting Response,Pending,2,2026-04-28 14:06:16.022926+00,2026-05-02 08:08:47.496+00,import_1777385152477
1860297380,531,ZZ34689U,Awaiting Response,Pending,2,2026-04-28 14:06:15.891944+00,2026-05-02 08:08:47.297+00,import_1777385152477
1851620870,519,ZZ34689U,Awaiting Response,Pending,4,2026-04-28 14:06:15.255805+00,2026-05-02 08:08:47.099+00,import_1777385152477
1862039800,500,DB24125M,Awaiting Response,Pending,1,2026-04-28 14:06:14.35022+00,2026-05-02 08:08:46.904+00,import_1777385152477
1860356740,497,WS07499P,Awaiting Response,Pending,1,2026-04-28 14:06:14.233348+00,2026-05-02 08:08:46.707+00,import_1777385152477
1857942000,496,WC04518Y,Awaiting Response,Pending,2,2026-04-28 14:06:14.18396+00,2026-05-02 08:08:46.51+00,import_1777385152477
1861707650,495,KE54371H,Awaiting Response,Pending,2,2026-04-28 14:06:14.134828+00,2026-05-02 08:08:46.315+00,import_1777385152477
1860341390,491,WS07499P,Awaiting Response,Pending,1,2026-04-28 14:06:13.950723+00,2026-05-02 08:08:46.116+00,import_1777385152477
1859753990,479,XK37954X,Awaiting Response,Pending,1,2026-04-28 14:06:13.402672+00,2026-05-02 08:08:45.921+00,import_1777385152477
1861268610,467,FN80732Y,Awaiting Response,Pending,1,2026-04-28 14:06:12.793714+00,2026-05-02 08:08:45.698+00,import_1777385152477
1859087820,464,ZN91464Q,Awaiting Response,Pending,2,2026-04-28 14:06:12.678014+00,2026-05-02 08:08:45.499+00,import_1777385152477
1861320960,432,TN34067J,Awaiting Response,Pending,1,2026-04-28 14:06:11.172116+00,2026-05-02 08:08:45.294+00,import_1777385152477
1860429900,430,YR96385F,Awaiting Response,Pending,1,2026-04-28 14:06:11.08804+00,2026-05-02 08:08:45.098+00,import_1777385152477
1855987150,428,TF90078F,Awaiting Response,Pending,2,2026-04-28 14:06:10.979253+00,2026-05-02 08:08:44.898+00,import_1777385152477
1860784450,427,TN34067J,Awaiting Response,Pending,2,2026-04-28 14:06:10.93003+00,2026-05-02 08:08:44.699+00,import_1777385152477
1860388700,417,YG27141G,Awaiting Response,Pending,1,2026-04-28 14:06:10.474567+00,2026-05-02 08:08:44.502+00,import_1777385152477
1860713250,399,KG88499K,Awaiting Response,Pending,1,2026-04-28 14:06:09.591069+00,2026-05-02 08:08:44.305+00,import_1777385152477
1860754260,397,XT05307S,Awaiting Response,Pending,1,2026-04-28 14:06:09.509746+00,2026-05-02 08:08:44.108+00,import_1777385152477
1841973430,387,ZD87209J,Awaiting Response,Pending,4,2026-04-28 14:06:08.977995+00,2026-05-02 08:08:43.912+00,import_1777385152477
1860151850,379,SB57977Q,Awaiting Response,Pending,1,2026-04-28 14:06:08.601882+00,2026-05-02 08:08:43.715+00,import_1777385152477
1859501050,377,SB57977Q,Awaiting Response,Pending,1,2026-04-28 14:06:08.518141+00,2026-05-02 08:08:43.519+00,import_1777385152477
1857301070,376,NE47075E,Awaiting Response,Pending,2,2026-04-28 14:06:08.246084+00,2026-05-02 08:08:43.323+00,import_1777385152477
1857853610,342,FV31284K,Awaiting Response,Pending,2,2026-04-28 14:06:06.54987+00,2026-05-02 08:08:43.108+00,import_1777385152477
