invoice_group_id,invoice_number,client_number,group_status,group_outcome,group_created_at,group_updated_at,claim_id,conf_number,ref_number,car_number,service_date,claim_amount,error_details,error_type_id,included_in_dispute,duplicate_of_claim_id,import_batch
1142,1869106610,EW34871M,Awaiting Response,Pending,2026-04-30 15:09:08.322197+00,2026-05-02 08:08:55.222+00,2149,15056423,1869106610 404811596,4955,4/29/26,14.98,,,t,,import_1777561745579
1142,1869106610,EW34871M,Awaiting Response,Pending,2026-04-30 15:09:08.322197+00,2026-05-02 08:08:55.222+00,2150,15056424,1869106610 404811597,898,4/29/26,14.98,,,t,,import_1777561745579
1128,1868037610,PF81953W,Awaiting Response,Pending,2026-04-30 15:09:07.639319+00,2026-05-02 08:08:55.017+00,2123,15043743,1868037610 404601100,347,4/29/26,59.99,,,t,,import_1777561745579
1128,1868037610,PF81953W,Awaiting Response,Pending,2026-04-30 15:09:07.639319+00,2026-05-02 08:08:55.017+00,2124,15043729,1868037610 404601101,4019,4/29/26,59.99,,,t,,import_1777561745579
1124,1869491220,KG88499K,Awaiting Response,Pending,2026-04-30 15:09:07.422523+00,2026-05-02 08:08:54.823+00,2116,15074446,1869491220 404885934,3870,4/28/26,64.51,,,t,,import_1777561745579
1124,1869491220,KG88499K,Awaiting Response,Pending,2026-04-30 15:09:07.422523+00,2026-05-02 08:08:54.823+00,2117,15074447,1869491220 404885935,7034,4/28/26,61.58,,,t,,import_1777561745579
1099,1869205610,SR88932S,Awaiting Response,Pending,2026-04-30 15:09:06.27123+00,2026-05-02 08:08:54.037+00,2071,15056001,1869205610 404831480,1018,4/28/26,47.63,,,t,,import_1777561745579
1099,1869205610,SR88932S,Awaiting Response,Pending,2026-04-30 15:09:06.27123+00,2026-05-02 08:08:54.037+00,2072,15055907,1869205610 404831127,1424,4/28/26,84.73,,,t,,import_1777561745579
1099,1869205610,SR88932S,Awaiting Response,Pending,2026-04-30 15:09:06.27123+00,2026-05-02 08:08:54.037+00,2073,15055908,1869205610 404831128,4819,4/28/26,54.26,,,t,,import_1777561745579
953,1854896640,VA36057R,Awaiting Response,Pending,2026-04-28 14:38:58.535455+00,2026-05-02 08:08:52.658+00,1814,14999804,1854896640 402010571,1754,4/22/2026,69.95,,,t,,import_1777387119750
953,1854896640,VA36057R,Awaiting Response,Pending,2026-04-28 14:38:58.535455+00,2026-05-02 08:08:52.658+00,1815,14999801,1854896640 402010572,4828,4/22/2026,69.95,,,t,,import_1777387119750
930,1808006060,TT22000X,Awaiting Response,Pending,2026-04-28 14:38:57.496336+00,2026-05-02 08:08:52.46+00,1773,15000062,1808006060 392805999,2387,4/22/2026,54.83,,,t,,import_1777387119750
930,1808006060,TT22000X,Awaiting Response,Pending,2026-04-28 14:38:57.496336+00,2026-05-02 08:08:52.46+00,1774,15002275,1808006060 392806001,159,4/22/2026,54.83,,,t,,import_1777387119750
860,1865742660,NE47075E,Awaiting Response,Pending,2026-04-28 14:38:54.320587+00,2026-05-02 08:08:52.262+00,1643,15018656,1865742660 404148779,3746,4/21/2026,76.40,,,t,,import_1777387119750
860,1865742660,NE47075E,Awaiting Response,Pending,2026-04-28 14:38:54.320587+00,2026-05-02 08:08:52.262+00,1644,15018655,1865742660 404148780,5161,4/21/2026,74.93,,,t,,import_1777387119750
855,1867049880,ZE91632B,Awaiting Response,Pending,2026-04-28 14:38:54.092305+00,2026-05-02 08:08:51.861+00,1634,15031300,1867049880 404406710,1987,4/21/2026,25.72,,,t,,import_1777387119750
855,1867049880,ZE91632B,Awaiting Response,Pending,2026-04-28 14:38:54.092305+00,2026-05-02 08:08:51.861+00,1635,15031299,1867049880 404406711,96,4/21/2026,25.72,,,t,,import_1777387119750
706,1851328310,GT13297J,Awaiting Response,Pending,2026-04-28 14:38:47.237393+00,2026-05-02 08:08:51.459+00,1358,14985037,1851328310 401305974,7124,4/20/2026,30.05,,,t,,import_1777387119750
706,1851328310,GT13297J,Awaiting Response,Pending,2026-04-28 14:38:47.237393+00,2026-05-02 08:08:51.459+00,1359,14985038,1851328310 401305975,4252,4/20/2026,30.05,,,t,,import_1777387119750
