invoice_number,present_on_portal,portal_ticket_ids,portal_status,portal_category,portal_created,present_in_claimclear,claimclear_status,claimclear_outcome,claimclear_id
1756282680,yes,88375,Closed,GPS Control Deviation,2026-05-09 16:11:52,no,,,
1761882660,yes,86125,Closed,GPS Control Deviation,2026-05-01 11:00:44,no,,,
1761882810,yes,88698,Closed,GPS Control Deviation,2026-05-09 19:50:18,no,,,
1762714700,yes,88294,Closed,GPS Control Deviation,2026-05-08 18:13:49,no,,,
1764709550,yes,88342,Closed,GPS Control Deviation,2026-05-09 12:41:52,no,,,
1769623550,yes,88421,Closed,GPS Control Deviation,2026-05-09 16:24:07,no,,,
1772287030,yes,89591,Closed,GPS Control Deviation,2026-05-12 14:00:37,no,,,
1772418240,yes,88538,Closed,GPS Control Deviation,2026-05-09 17:02:44,no,,,
1774979290,yes,88258,Closed,GPS Control Deviation,2026-05-08 18:03:34,no,,,
1775914990,yes,88298,Closed,GPS Control Deviation,2026-05-08 18:14:57,no,,,
1775947540,yes,89970,Closed,GPS Control Deviation,2026-05-13 14:02:40,no,,,
1776098570,yes,88679,Closed,GPS Control Deviation,2026-05-09 19:44:59,no,,,
1776329940,yes,88133,Closed,GPS Control Deviation,2026-05-08 14:01:32,no,,,
1777226290,yes,88490,Closed,GPS Control Deviation,2026-05-09 16:49:44,no,,,
1777489990,yes,89975,Closed,GPS Control Deviation,2026-05-13 14:03:13,no,,,
1778249440,yes,89615,Closed,GPS Control Deviation,2026-05-12 14:07:38,no,,,
1782680220,yes,91105,Closed,GPS Control Deviation,2026-05-18 11:00:49,no,,,
1782763620,yes,88349,Closed,GPS Control Deviation,2026-05-09 12:43:57,no,,,
1782763700,yes,92407,Closed,GPS Control Deviation,2026-05-20 18:53:10,no,,,
1784729370,yes,90363,Closed,GPS Control Deviation,2026-05-14 14:00:33,no,,,
1785005100,yes,85127,Closed,GPS Control Deviation,2026-04-28 19:08:04,no,,,
1785923790,yes,88286,Closed,GPS Control Deviation,2026-05-08 18:11:22,no,,,
1785923860,yes,90750,Closed,GPS Control Deviation,2026-05-15 16:23:50,no,,,
1786576850,yes,88621,Closed,GPS Control Deviation,2026-05-09 19:28:19,no,,,
1786805180,yes,90681,Closed,GPS Control Deviation,2026-05-15 14:06:39,no,,,
1786951830,yes,88484,Closed,GPS Control Deviation,2026-05-09 16:48:14,no,,,
1789781310,yes,90663,Closed,GPS Control Deviation,2026-05-15 14:00:09,no,,,
1790245900,yes,91503,Closed,GPS Control Deviation,2026-05-18 22:14:07,no,,,
1792576310,yes,92166,Closed,GPS Control Deviation,2026-05-20 11:03:22,no,,,
1792895920,yes,88630,Closed,GPS Control Deviation,2026-05-09 19:30:56,no,,,
1793264810,yes,85124,Closed,GPS Control Deviation,2026-04-28 19:07:37,no,,,
1793869460,yes,88651,Closed,GPS Control Deviation,2026-05-09 19:37:12,no,,,
1794556130,yes,88519,Closed,GPS Control Deviation,2026-05-09 16:57:48,no,,,
1797699130,yes,92277,Closed,GPS Control Deviation,2026-05-20 14:02:52,no,,,
1797935470,yes,90365,Closed,GPS Control Deviation,2026-05-14 14:01:15,no,,,
1797972160,yes,87895,Closed,GPS Control Deviation,2026-05-07 22:00:38,no,,,
1797972180,yes,88281,Closed,GPS Control Deviation,2026-05-08 18:09:58,no,,,
1797972190,yes,88046,Closed,GPS Control Deviation,2026-05-08 11:02:55,no,,,
1799585040,yes,88647,Closed,GPS Control Deviation,2026-05-09 19:35:58,no,,,
1799940260,yes,91259,Closed,GPS Control Deviation,2026-05-18 14:01:39,no,,,
1800221390,yes,88556,Closed,GPS Control Deviation,2026-05-09 17:31:34,no,,,
1801336590,yes,90371,Closed,GPS Control Deviation,2026-05-14 14:02:30,no,,,
1801404270,yes,88613,Closed,GPS Control Deviation,2026-05-09 19:26:06,no,,,
1801935640,yes,85435,Closed,GPS Control Deviation,2026-04-29 13:50:10,no,,,
1803231370,yes,87855,Closed,GPS Control Deviation,2026-05-07 18:02:49,no,,,
1803231380,yes,88296,Closed,GPS Control Deviation,2026-05-08 18:14:25,no,,,
1803597960,yes,88522,Closed,GPS Control Deviation,2026-05-09 16:58:38,no,,,
1804580940,yes,87324,Closed,GPS Control Deviation,2026-05-06 11:02:18,no,,,
1805665470,yes,87857,Closed,GPS Control Deviation,2026-05-07 18:03:26,no,,,
1805915190,yes,88697,Closed,GPS Control Deviation,2026-05-09 19:50:02,no,,,
1806522640,yes,85109,Closed,GPS Control Deviation,2026-04-28 19:04:49,no,,,
1807836920,yes,88513,Closed,GPS Control Deviation,2026-05-09 16:56:06,no,,,
1807987170,yes,85226,Closed,GPS Control Deviation,2026-04-29 08:16:36,no,,,
1808822800,yes,87755,Closed,GPS Control Deviation,2026-05-07 14:00:09,no,,,
1809040550,yes,88299,Closed,GPS Control Deviation,2026-05-08 18:15:15,no,,,
1809612770,yes,87761,Closed,GPS Control Deviation,2026-05-07 14:01:16,no,,,
1809612920,yes,88663,Closed,GPS Control Deviation,2026-05-09 19:40:31,no,,,
1809786110,yes,85072,Closed,GPS Control Deviation,2026-04-28 18:13:33,no,,,
1810218590,yes,87847,Closed,GPS Control Deviation,2026-05-07 18:00:34,no,,,
1810220860,yes,90666,Closed,GPS Control Deviation,2026-05-15 14:01:14,no,,,
1810340920,yes,88557,Closed,GPS Control Deviation,2026-05-09 17:31:50,no,,,
1810341120,yes,92178,Closed,GPS Control Deviation,2026-05-20 11:06:31,no,,,
1810450370,yes,87403,Closed,GPS Control Deviation,2026-05-06 14:00:37,no,,,
1810450500,yes,89963,Closed,GPS Control Deviation,2026-05-13 14:01:09,no,,,
1811431510,yes,91108,Closed,GPS Control Deviation,2026-05-18 11:01:07,no,,,
1811559940,yes,85129,Closed,GPS Control Deviation,2026-04-28 19:08:20,no,,,
1811560110,yes,87898,Closed,GPS Control Deviation,2026-05-07 22:01:29,no,,,
1811560380,yes,92413,Closed,GPS Control Deviation,2026-05-20 18:54:52,no,,,
1811814390,yes,87700,Closed,GPS Control Deviation,2026-05-07 11:46:29,no,,,
1812056030,yes,89976,Closed,GPS Control Deviation,2026-05-13 14:03:28,no,,,
1812371020,yes,85152,Closed,GPS Control Deviation,2026-04-28 19:17:10,no,,,
1813123750,yes,85064,Closed,GPS Control Deviation,2026-04-28 18:08:48,no,,,
1815911460,yes,88639,Closed,GPS Control Deviation,2026-05-09 19:33:34,no,,,
1816477590,yes,88038,Closed,GPS Control Deviation,2026-05-08 11:00:54,no,,,
1816533060,yes,87859,Closed,GPS Control Deviation,2026-05-07 18:04:00,no,,,
1817461380,yes,88460,Closed,GPS Control Deviation,2026-05-09 16:41:34,no,,,
1818563470,yes,87167,Closed,GPS Control Deviation,2026-05-05 18:02:42,no,,,
1818978270,yes,92397,Closed,GPS Control Deviation,2026-05-20 18:25:22,no,,,
1819214090,yes,92170,Closed,GPS Control Deviation,2026-05-20 11:04:36,no,,,
1820474260,yes,88502,Closed,GPS Control Deviation,2026-05-09 16:53:20,no,,,
1820916500,yes,89610,Closed,GPS Control Deviation,2026-05-12 14:06:03,no,,,
1821244240,yes,89300|89240,Closed|Closed,GPS Control Deviation,2026-05-12 08:00:34,no,,,
1821833240,yes,85464,Closed,GPS Control Deviation,2026-04-29 14:58:28,no,,,
1822060350,yes,88279,Closed,GPS Control Deviation,2026-05-08 18:09:23,no,,,
1822117500,yes,86843,Closed,GPS Control Deviation,2026-05-05 08:10:14,no,,,
1822668320,yes,89597,Closed,GPS Control Deviation,2026-05-12 14:02:20,no,,,
1823418450,yes,88521,Closed,GPS Control Deviation,2026-05-09 16:58:20,no,,,
1823516170,yes,88527,Closed,GPS Control Deviation,2026-05-09 17:00:04,no,,,
1824044290,yes,88388,Closed,GPS Control Deviation,2026-05-09 16:15:58,no,,,
1824429390,yes,89977,Closed,GPS Control Deviation,2026-05-13 14:03:30,no,,,
